1,2104029
2,2104003
3,2104141
4,2104017
5,2104094
6,2104010
7,2104092
8,2104067
9,2104025
10,2104160
11,2104036
12,2104153
13,2104072
14,2104139
15,2104071
16,2104007
17,2104190
18,2104004
19,2104055
20,2104028
21,2104156
22,2104191
23,2104089
24,2104172
25,2104143
26,2104031
27,2104070
28,2104149
29,2104106
30,2104024
31,2104064
32,2104161
33,1804133
34,2104011
35,2104038
36,2104127
37,2104013
38,2104032
39,2104016
40,2104079
41,2104146
42,2104182
43,2104177
44,2104073
45,2104002
46,2104169
47,2104059
48,2104037
49,2104018
50,2104082
51,2104035
52,2104014
53,2104158
54,2104077
55,2104194
56,2104001
57,2104188
58,2104195
59,2104189
60,2104080
61,2104086
62,2104085
63,2104113
64,2104129
65,2104022
66,2104044
67,2104104
68,2104054
69,2104165
70,2104173
71,2104074
72,2104006
73,2104117
74,2104134
75,2104098
76,2104186
77,2104193
78,2104069
79,2104184
80,2104150
81,2104130
82,2104047
83,2104122
84,2104170
85,2104137
86,2104095
87,2104148
88,2104012
89,2104062
90,2104021
91,2104043
92,2104154
93,2104164
94,2104179
95,2104145
96,2104049
97,2104056
98,2104034
99,2104121
100,2104128
101,2104192
102,2104081
103,2104114
104,2104027
105,2104015
106,2104045
107,2104116
108,2104066
109,2104131
110,2104171
111,2104052
112,2104026
113,2104174
114,2104009
115,2104063
116,2104140
117,2104050
118,2104133
119,2104041
120,2104102
121,2104119
122,2104125
123,2104005
124,2104120
125,2104185
126,2104151
127,2104176
128,2104163
129,2104075
130,2104135
131,2104096
132,2104166
133,2104040
134,2104126
135,2104061
136,2104083
137,2104109
138,2104162
139,2104020
140,2104048
141,2104105
142,2104108
143,2104033
144,2104152
145,2104008
146,2104068
147,2104132
148,2104084
149,2104100
150,2104091
151,2104175
152,2104051
153,2104123
154,2104103
155,2104180
156,2104093
157,2104053
158,2104147
159,2104058
160,2104115
161,2104155
162,2104178
163,2104046
164,2104023
165,2104112
166,2104144
167,2104039
168,2104019
169,2104099
170,2104136
171,2104181
172,2104107
173,2104042
174,2104124
175,2104118
177,2104168
178,1804123
179,2104101
180,2104057
181,2104087
182,2104110
183,2104142
184,2104097
185,1804120
186,1604190
187,2104060
189,2104157
191,2104090
193,1804092
194,2104187
195,2104167
197,1804051
198,1404093
199,1804116
200,1804056
201,1804085
